rec-id,version,first-name,surname,birth-name,postcode,city,ssn,birth-year,birth-month,birth-day
rec-00004,dup-0,isabella,snelling,,77978,schuttertal,223521054,1982,3,26
rec-00018,dup-0,mia,snell,,14641,nauen,203757562,1970,7,24
rec-00044,dup-0,lucy,atsalas,,78048,villingen-schwenningen,157792893,1942,3,12
rec-00050,dup-0,kalli,biscoe,singleton,60308,frankfurt eam main,660687336,1951,10,15
rec-00051,dup-0,nasyah,filip,,97799,zeitlofs,210900415,1980,11,11
rec-00059,dup-0,jessica,nguyen,walkey,67346,speyer,372881740,1942,3,22
rec-00061,dup-0,alyssa,shepherd,leblond,27570,bremerhaven,68273238,1990,10,14
rec-00062,dup-0,portia,mahony,,6217,merseburg,636483221,2014,9,18
rec-00069,dup-0,alessandra,snoad,,45239,essen,469177970,2020,4,18
rec-00073,dup-0,makenzi,berry,,22399,hamburg,797776872,6,7,2010
rec-00094,dup-0,takeisha,needham,lablack,74348,lauffen am neckar,74101042,2019,6,28
rec-00114,dup-0,imogen,matthews,,73072,donzdorf,13297131,1963,5,31
rec-00124,dup-0,alana,wahlstedt,,56593,horhausen (westerwald),320930935,2003,5,13
rec-00129,dup-0,brianna,campbell,clarke,45356,essen,778125283,1989,5,15
rec-00133,dup-0,lauren,nicolle,,51580,reichshof,118701229,1982,10,4
rec-00140,dup-0,corie,wilde,,16259,bad freienwalde,35192953,2020,11,14
rec-00143,dup-0,riley,green,,27607,geestland debstedtholsselhymendorfimsumkrempellangenneuenwalde,821743540,1945,11,18
rec-00153,dup-0,teagan,hage,bradshaw,29643,neuenkirchen,593192603,1996,8,9
rec-00157,dup-0,lauren,burnell,,71549,auenwald,500888929,1949,8,11
rec-00182,dup-0,jessie,handy,,17438,wolgast,546167012,2015,6,19
rec-00186,dup-0,phoebe,bradshaw,,37639,bevern,119858487,1964,10,20
rec-00188,dup-0,lucy,green,,75056,sulzfeld,868493729,1935,2,25
rec-00203,dup-0,aliza,liebenberg,,37445,walkenried,2574884,18,1,2001
rec-00218,dup-0,rachel,campbell,,51580,reichshof,19382053,2010,6,1
rec-00225,dup-0,emma,butt,,60437,frankfurt am main,606689530,1961,7,9
rec-00243,dup-0,talia,lippett,white,4103,leipzig,79867515,1960,9,13
rec-00245,dup-0,,blackwell,taylor,10777,berlin wilmersdorf,707124132,1996,5,30
rec-00252,dup-0,chelsea,mccarthy,mason,42287,wuppertal (barmen-sud,389714574,1960,5,5
rec-00253,dup-0,stella,noack,,75446,wiernsheim,39635490,1965,10,7
rec-00259,dup-0,alyssa,meadows,,16341,panketal,73461247,2011,2,28
rec-00316,dup-0,rachel,nalpantidis,,89299,unterroth,591284018,2014,12,9
rec-00332,dup-0,kaela,dixo,,75179,pforzheim,609596264,1978,2,2
rec-00336,dup-0,erin,fusco,,25421,pinneberg,139814199,5,3,1981
rec-00347,dup-0,isabella,morrison,,69190,walldorf,56744043,1997,9,5
rec-00348,dup-0,montana,hazell,,24113,kiel,68799229,1947,6,24
rec-00353,dup-0,erin,nurse,paterson,57586,weitefeld,393695989,1966,2,12
rec-00358,dup-0,alia,matthews,sherrington,7381,possneck,299428640,1965,12,5
rec-00364,dup-0,ashlee,clapham,clarke,32289,rodinghausen,55444355,1979,10,1
rec-00372,dup-0,hana,stephenson,berry,15926,luckau,569705550,1993,11,6
rec-00395,dup-0,ruby,grainger,wojtal,46286,dorsten,869953439,1993,9,16
rec-00405,dup-0,chelsie,ballantyne,deakin,25327,elmshorn,705843602,1957,1,9
rec-00413,dup-0,mikhayla,matthews,,73760,ostfildern,95686609,1949,5,2
rec-00424,dup-0,cheree,skeen,white,34130,kassel,475704523,1986,11,26
rec-00428,dup-0,ellen,aiston,matthews,87749,hawangen,313839548,2000,5,21
